Stop ID, Stop Name, Stop Latitude, Stop Longitude
149, Podu Roș (3), 47.14976214, 27.58595917
150, Pod Nicolina, 47.14271786, 27.58029878
151, Tudor Neculai, 47.13921645, 27.57835022
152, Biserica Înălțarea Domnului, 47.12851136, 27.56866807
153, Tehnopolis, 47.12509431, 27.5672372
154, Carrefour ERA, 47.16739, 27.51385
155, Brico Depot ERA, 47.17006382, 27.51283866
156, Popas Păcurari, 47.1724089, 27.52018607
157, Octav Bancilă, 47.17094403, 27.56137476
158, Octav Bancilă, 47.17148568, 27.56067008
159, Ideo, 47.17258089, 27.52364856
160, Popas Păcurari, 47.17248777, 27.52007878
161, Carrefour ERA, 47.16744087, 27.51373105
162, Pasaj Nicolina, 47.14473479, 27.58132206
163, Gara Internațională, 47.1470459, 27.57988924
164, Spitalul de Recuperare, 47.15002883, 27.57455355
166, Mircea cel Bătrân, 47.15608732, 27.57042393
167, Piața Alexandru cel Bun, 47.16026999, 27.57072184
168, Piața Alexandru cel Bun II, 47.16196497, 27.56960285
169, Minerva, 47.16329843, 27.56461304
170, Zimbru, 47.16667032, 27.55548744
171, Bicaz, 47.16679, 27.55001
172, Columnei, 47.16664993, 27.54444591
173, Dacia, 47.16882472, 27.5408178
174, Dacia, 47.16933, 27.54025
175, Bicaz, 47.16673, 27.55097
176, Zimbru, 47.16679119, 27.55590633
177, Minerva, 47.16328957, 27.56429739
178, Familial, 47.1618644, 27.56712555
179, Piața Alexandru cel Bun, 47.16046949, 27.5708715
180, Mircea cel Bătrân, 47.15623368, 27.57035267
182, Spitalul de Recuperare, 47.14973511, 27.57485637
184, Pasaj Nicolina, 47.1448222, 27.58224291
185, Podu Roș (3), 47.14952278, 27.58593634
186, Podu Roș (1), 47.15096, 27.58942
188, C.E.T., 47.14796, 27.60216
189, Baza 3, 47.14715461, 27.60856384
190, C.F.S., 47.14604, 27.61537
191, Piața Ing. Virgil Săhleanu, 47.14560146, 27.61883766
192, C.F.S. II, 47.14794008, 27.62023163
193, Pod Metalurgie, 47.1500854, 27.62090155
