from, to, travel_time
71, 69, 119
72, 21, 291
72, 22, 207
72, 34, 221
72, 55, 195
72, 56, 180
72, 58, 200
72, 67, 233
72, 68, 180
72, 69, 231
72, 73, 225
72, 81, 161
72, 82, 262
72, 111, 262
72, 112, 239
72, 120, 282
72, 121, 155
72, 136, 241
72, 190, 148
72, 191, 148
73, 22, 278
73, 39, 259
73, 40, 227
73, 58, 261
73, 68, 251
73, 72, 225
73, 74, 193
73, 75, 281
73, 81, 101
73, 82, 191
73, 112, 148
73, 113, 182
73, 114, 199
73, 121, 181
73, 145, 250
74, 40, 176
74, 73, 193
74, 75, 230
74, 76, 284
74, 81, 193
74, 82, 292
74, 112, 193
74, 113, 184
74, 114, 147
74, 121, 269
74, 145, 193
75, 40, 150
75, 73, 281
75, 74, 230
75, 76, 104
75, 81, 281
75, 114, 173
76, 74, 284
76, 75, 104
77, 78, 94
77, 79, 276
77, 80, 225
78, 77, 94
78, 79, 256
78, 80, 205
79, 77, 276
79, 78, 256
79, 80, 72
80, 26, 133
80, 27, 99
80, 42, 120
80, 51, 101
80, 52, 157
80, 77, 225
80, 78, 205
80, 79, 72
80, 115, 288
80, 127, 281
80, 128, 258
80, 129, 281
81, 21, 284
81, 22, 213
81, 40, 227
81, 58, 196
81, 68, 186
81, 69, 238
81, 72, 161
81, 73, 101
81, 74, 193
81, 75, 281
81, 82, 118
81, 112, 102
81, 120, 295
81, 121, 116
81, 136, 247
81, 145, 250
81, 190, 238
81, 191, 238
82, 56, 228
82, 68, 286
82, 72, 262
82, 73, 191
82, 74, 292
82, 81, 118
82, 111, 37
82, 112, 184
82, 121, 214
82, 190, 263
82, 191, 262
83, 55, 179
83, 66, 218
83, 84, 78
83, 111, 134
83, 145, 254
84, 55, 168
84, 66, 177
84, 67, 246
84, 83, 78
84, 85, 57
84, 86, 157
84, 87, 296
84, 91, 91
84, 110, 99
85, 55, 135
85, 66, 144
85, 67, 213
85, 69, 295
85, 84, 57
85, 86, 157
85, 91, 91
85, 110, 62
85, 190, 296
85, 191, 296
86, 55, 199
86, 66, 209
86, 67, 277
86, 84, 157
86, 85, 157
